product_id,product_name,description,price,category,brand,color,style,use_case
P179,Brown Timex Analog Watch,"Comfortable brown casual analog watch by Timex, suitable for daily wear.",3699,Watches,Timex,Brown,Casual,Daily Wear
P180,Silver Timex Analog Watch,"Comfortable silver casual analog watch by Timex, suitable for party.",7299,Watches,Timex,Silver,Casual,Party
P181,Brown Casio Sports Watch,"Comfortable brown casual sports watch by Casio, suitable for party.",12299,Watches,Casio,Brown,Casual,Party
P182,Gold Sonata Digital Watch,"Comfortable gold classic digital watch by Sonata, suitable for party.",13099,Watches,Sonata,Gold,Classic,Party
P183,Blue Timex Chronograph Watch,"Comfortable blue casual chronograph watch by Timex, suitable for fitness.",7099,Watches,Timex,Blue,Casual,Fitness
P184,Brown Fossil Digital Watch,"Comfortable brown formal digital watch by Fossil, suitable for fitness.",7899,Watches,Fossil,Brown,Formal,Fitness
P185,Blue Fossil Digital Watch,"Comfortable blue formal digital watch by Fossil, suitable for daily wear.",6899,Watches,Fossil,Blue,Formal,Daily Wear
P186,Silver Timex Chronograph Watch,"Comfortable silver casual chronograph watch by Timex, suitable for office.",11399,Watches,Timex,Silver,Casual,Office
P187,Gold Fossil Analog Watch,"Comfortable gold classic analog watch by Fossil, suitable for party.",6199,Watches,Fossil,Gold,Classic,Party
P188,Brown Timex Chronograph Watch,"Comfortable brown formal chronograph watch by Timex, suitable for party.",1099,Watches,Timex,Brown,Formal,Party
P189,Blue Fossil Digital Watch,"Comfortable blue classic digital watch by Fossil, suitable for party.",13399,Watches,Fossil,Blue,Classic,Party
P190,Blue Titan Analog Watch,"Comfortable blue classic analog watch by Titan, suitable for party.",10899,Watches,Titan,Blue,Classic,Party
P191,Grey Skybags Travel Backpack,"Comfortable grey laptop travel backpack by Skybags, suitable for hiking.",4899,Bags,Skybags,Grey,Laptop,Hiking
P192,Black Nike Laptop Backpack,"Comfortable black waterproof laptop backpack by Nike, suitable for travel.",5099,Bags,Nike,Black,Waterproof,Travel
P193,Blue Puma Laptop Backpack,"Comfortable blue waterproof laptop backpack by Puma, suitable for office.",2599,Bags,Puma,Blue,Waterproof,Office
P194,Red Puma Casual Backpack,"Comfortable red laptop casual backpack by Puma, suitable for hiking.",3099,Bags,Puma,Red,Laptop,Hiking
P195,Red Puma Laptop Backpack,"Comfortable red waterproof laptop backpack by Puma, suitable for college.",3999,Bags,Puma,Red,Waterproof,College
P196,Green Wildcraft Travel Backpack,"Comfortable green travel travel backpack by Wildcraft, suitable for college.",5099,Bags,Wildcraft,Green,Travel,College
P197,Black Wildcraft Travel Backpack,"Comfortable black travel travel backpack by Wildcraft, suitable for office.",6299,Bags,Wildcraft,Black,Travel,Office
P198,Green Wildcraft Travel Backpack,"Comfortable green laptop travel backpack by Wildcraft, suitable for office.",3999,Bags,Wildcraft,Green,Laptop,Office
P199,Green Wildcraft Casual Backpack,"Comfortable green laptop casual backpack by Wildcraft, suitable for hiking.",5899,Bags,Wildcraft,Green,Laptop,Hiking
P200,Blue Skybags Casual Backpack,"Comfortable blue travel casual backpack by Skybags, suitable for office.",1599,Bags,Skybags,Blue,Travel,Office
P201,Black Nike Waterproof Backpack,"Comfortable black casual waterproof backpack by Nike, suitable for hiking.",6999,Bags,Nike,Black,Casual,Hiking
P202,Black American Tourister Casual Backpack,"Comfortable black laptop casual backpack by American Tourister, suitable for travel.",6399,Bags,American Tourister,Black,Laptop,Travel
P203,Black Nike Waterproof Backpack,"Comfortable black travel waterproof backpack by Nike, suitable for college.",5199,Bags,Nike,Black,Travel,College
P204,Black Skybags Waterproof Backpack,"Comfortable black casual waterproof backpack by Skybags, suitable for travel.",6199,Bags,Skybags,Black,Casual,Travel
P205,Black Puma Waterproof Backpack,"Comfortable black waterproof waterproof backpack by Puma, suitable for college.",5499,Bags,Puma,Black,Waterproof,College
P500,Black Nike Leather Formal Shoes,Comfortable black leather formal shoes suitable for office,2499,Shoes,Nike,Black,Formal,Office
P501,Black Adidas Waterproof Running Jacket,Lightweight waterproof black running jacket suitable for running,3999,Jackets,Adidas,Black,Waterproof,Running
P502,Red Nike Running Shoes,Comfortable red Nike running shoes for running and gym,3499,Shoes,Nike,Red,Running,Running
P503,Dell Lightweight Business Laptop,"Lightweight Dell laptop suitable for office, study and programming",55999,Laptops,Dell,Silver,Lightweight,Office
P504,Sony Wireless Noise Cancelling Headphones,Wireless black noise cancelling headphones suitable for music and travel,4999,Headphones,Sony,Black,Noise Cancelling,Music
